ref,channel,priority,releasedAt,sku,qty
C26022kb04,Wholesale,standard,0,8909404086936,1
C260bJ4z02,Wholesale,standard,450,8909001188644,1
C260bJ4z02,Wholesale,standard,450,8909404139441,1
C260bJ4z02,Wholesale,standard,450,8909404231152,1
C260bJ4z02,Wholesale,standard,450,8909404231947,2
C260bJ4z02,Wholesale,standard,450,8909404320306,1
C260xPYk02,Wholesale,standard,900,8909001100417,1
C261m18i01,Wholesale,standard,1350,8907546829138,1
C264xahw01,Wholesale,standard,1800,8907546855991,1
C265dxvz01,Wholesale,standard,2250,8909404133432,1
C265siu502,Wholesale,standard,2700,8907546811140,1
C268JPdz01,Wholesale,standard,3150,8909001579718,1
C268JPdz01,Wholesale,standard,3150,8909001779408,1
C268abdo01,Wholesale,standard,3600,8909404017794,1
C268xfYx01,Wholesale,standard,4050,8909404314466,1
C2696Guo01,Wholesale,standard,4500,8909404065481,2
C26GrvY802,Wholesale,standard,4950,8909404093835,1
C26JGahP01,Wholesale,standard,5400,8909404093538,1
C26JQckk01,Wholesale,standard,5850,8909001134429,1
C26Jm26102,Wholesale,standard,6300,8909404279673,1
C26Jnktk01,Wholesale,standard,6750,8909404145695,2
C26Pddtk01,Wholesale,standard,7200,8909001868782,1
C26Pt9Yx01,Wholesale,standard,7650,8909404063265,2
C26Pvr9l01,Wholesale,standard,8100,8909404058681,1
C26Pz4xz01,Wholesale,standard,8550,8909001293683,1
C26Q0wiP02,Wholesale,standard,9000,8909001058961,1
C26Q4tur01,Wholesale,standard,9450,8909001645895,1
C26QYccc01,Wholesale,standard,9900,8909404210041,1
C26Qb15Y01,Wholesale,standard,10350,8909001990490,1
C26Y95ro02,Wholesale,standard,10800,8907546992924,1
C26Y95ro02,Wholesale,standard,10800,8907546993136,2
C26Y95ro02,Wholesale,standard,10800,8907546993204,2
C26Y95ro02,Wholesale,standard,10800,8909001164488,2
C26Y95ro02,Wholesale,standard,10800,8909001164761,2
C26Y95ro02,Wholesale,standard,10800,8909001287217,2
C26Y95ro02,Wholesale,standard,10800,8909001724538,1
C26b35hu01,Wholesale,standard,11250,8909404182782,1
C26bPvm301,Wholesale,standard,11700,8909404130059,1
C26cza2901,Wholesale,standard,12150,8909001907511,1
C26d9t2v01,Wholesale,standard,12600,8907546829138,1
C26dP69701,Wholesale,standard,13050,8909001585559,2
C26e63wx01,Wholesale,standard,13500,8909404151290,1
C26eG1wn01,Wholesale,standard,13950,8909001991251,1
C26eaJ8l01,Wholesale,standard,14400,8909001929544,1
C26fc49u02,Wholesale,standard,14850,8909001944400,1
C26hk87o01,Wholesale,standard,15300,8909001723128,1
C26hukeb01,Wholesale,standard,15750,8909404132954,1
C26iPl7J01,Wholesale,standard,16200,8909001871485,1
C26iv97n01,Wholesale,standard,16650,8909001321706,1
C26iv97n01,Wholesale,standard,16650,8909001330180,1
C26izeQ501,Wholesale,standard,17100,8909404144896,1
C26k31ri01,Wholesale,standard,17550,8909001584101,2
C26kaaQl01,Wholesale,standard,18000,8909404170000,1
C26ko5r401,Wholesale,standard,18450,8909001582077,1
C26kum6z01,Wholesale,standard,18900,8909001802205,2
C26kum6z01,Wholesale,standard,18900,8909001824580,1
C26kum6z01,Wholesale,standard,18900,8909001931233,1
C26kum6z01,Wholesale,standard,18900,8909001947081,2
C26lGQvQ01,Wholesale,standard,19350,8907546896772,1
C26labPx01,Wholesale,standard,19800,8907546896628,1
C26mJc7Q01,Wholesale,standard,20250,8909404173377,1
C26movwc01,Wholesale,standard,20700,8909404136044,1
C26n6ttv01,Wholesale,standard,21150,8909001498736,1
C26n6ttv01,Wholesale,standard,21150,8909001498897,1
C26n6ttv01,Wholesale,standard,21150,8909001499832,1
C26n6ttv01,Wholesale,standard,21150,8909404064088,1
C26n9x8802,Wholesale,standard,21600,8907546805484,2
C26n9x8802,Wholesale,standard,21600,8909001164730,2
C26nd2ok02,Wholesale,standard,22050,8909404240031,1
C26nlkch01,Wholesale,standard,22500,8909404096645,1
C26nlkch01,Wholesale,standard,22500,8909404098274,1
C26nlkch01,Wholesale,standard,22500,8909404098373,1
C26o4PQr01,Wholesale,standard,22950,8909001186305,1
C26osakk01,Wholesale,standard,23400,8909001921067,1
C26osakk01,Wholesale,standard,23400,8909404248136,1
C26s1rk001,Wholesale,standard,23850,8909404128377,1
C26sGJu101,Wholesale,standard,24300,8909001463406,1
C26swr6901,Wholesale,standard,24750,8907546903289,1
C26u58rh01,Wholesale,standard,25200,8909404060387,1
C26u5ss201,Wholesale,standard,25650,8909001321874,1
C26uiatd02,Wholesale,standard,26100,8909404196154,1
C26w6Puc01,Wholesale,standard,26550,8909404320412,1
C26wl3zf01,Wholesale,standard,27000,8909404251853,1
C26wslbk01,Wholesale,standard,27450,8909404211703,1
C26xdPJo02,Wholesale,standard,27900,8909404224239,1
SO/000487/W01-26,Store Replen,standard,28350,8907546021228,1
